Strassenname;Erklärung erste Zeile;Erklärung zweite Zeile;Geo Shape;Geo Point;Erstmals erwähnt;Amtlich benannt;Indextext;Kurztext;Erklärung_komplett;geschlecht;berufsgruppe;epoche
Ob der Wanne;In der grossen Wanne, ehemaliger Flurname;;LINESTRING (7.589532110856715 47.522189546920146, 7.589592201495564 47.52219323747739, 7.590775570564409 47.52226594193494, 7.59198259856448 47.52234162507843, 7.592006781146562 47.52234314917031, 7.592023314510673 47.52234417967635);47.52226646996244, 7.5907777370993905;;1994;WAN;Ob der Wanne; In der grossen Wanne, ehemaliger Flurname ;unbekannt;Tiere;
Predigerhofstrasse;Predigerhof, Hofgut in Reinach,;ehemaliger Besitz des Predigerklosters;MULTILINESTRING ((7.589532110856715 47.522189546920146, 7.589546451218215 47.52215220388906, 7.589690345403594 47.52185878206123, 7.589697300932992 47.5218440591102, 7.589704136886956 47.521829309332226, 7.589710839988321 47.52181453274457, 7.589717423514437 47.521799729329985, 7.58972387418815 47.52178489910576, 7.589730192009566 47.521770042071864, 7.589736390281437 47.52175516720498, 7.589742455701209 47.5217402655285, 7.589748401546219 47.5217253370252, 7.589754214539311 47.52171038171233, 7.589759894731473 47.521695417577604, 7.589765442046498 47.521680417639494, 7.589770869812586 47.52166539986849, 7.58977616475262 47.521650364281825, 7.589781326866697 47.52163531087952, 7.5897863694067 47.5216202306505, 7.589791279120958 47.52160513260587, 7.589796056009577 47.52159001674565, 7.589800700047237 47.52157487407603, 7.5898052245621 47.52155972256743, 7.589809602974457 47.521544553260455, 7.589813861838795 47.52152936612078, 7.589817987878042 47.52151416116555, 7.589821981092297 47.52149893839478, 7.589825854784284 47.521483706785155, 7.589829582348888 47.521468448383416, 7.589833190416887 47.52145319013658, 7.589836652357729 47.521437905097706, 7.589839994776744 47.52142261122, 7.589843204396866 47.521407308520644, 7.589846281192781 47.52139198800585, 7.589849225190029 47.521376658669496, 7.589857293719836 47.52131893468078, 7.589865587993949 47.52126122838489, 7.589874134565843 47.52120353974735, 7.589882920157625 47.521145868785275, 7.589891944743059 47.521088206504835, 7.589901208372296 47.521030570893636, 7.589910724270693 47.520972943946674, 7.58992046593429 47.52091534368604, 7.589954853854723 47.52077007534856, 7.589985574121288 47.520684692804274, 7.590069237591637 47.52047519317079), (7.589523066869089 47.527973358870135, 7.589543346794024 47.527927446101096, 7.589617130734083 47.52776064093264, 7.589631567753119 47.52772409829076, 7.589883969621909 47.527080937020706, 7.589972347192809 47.5266806507982, 7.58997651337618 47.52659041028912), (7.58997651337618 47.52659041028912, 7.589980643199683 47.526501401979054, 7.589996210823312 47.52616571399292, 7.590010189805505 47.52573802112129, 7.589913632387073 47.52556057232169), (7.589651323653801 47.52433048407947, 7.590433023456009 47.52434501832468, 7.59057310040569 47.52433382722981, 7.590581178309767 47.5242048000926), (7.589651323653801 47.52433048407947, 7.589632812232433 47.524282786777384, 7.589614730988785 47.52422284830119, 7.589476446037697 47.5237727959206, 7.589457161501558 47.523662745296136, 7.58940830845786 47.523421243004485, 7.5894055194636 47.52340688345208, 7.589402823389007 47.52339251478544, 7.589400233511659 47.523378136987326, 7.589397723276179 47.52336375009226, 7.589395319263163 47.523349363059495, 7.589393008144138 47.523334957918756, 7.589390803247406 47.52332055264039, 7.589388677992262 47.52330613826502, 7.589386658959246 47.52329172375201, 7.589384732819921 47.52327729113106, 7.589382912927936 47.5232628673663, 7.589381172651875 47.52324842551074, 7.589379538597622 47.52323398351758, 7.589377997487495 47.52321954140409, 7.589376549296045 47.52320509017641, 7.58937520730079 47.52319062981735, 7.589373958249424 47.52317616933792, 7.589372802141871 47.52316170873814, 7.589371738952682 47.52314723902419, 7.589370781984735 47.52313276917269, 7.589369917960367 47.52311829920083, 7.589369146879495 47.52310382910863, 7.589368468716683 47.52308934990222, 7.589367896774787 47.523074870558325, 7.589367417776158 47.52306039109408, 7.589367031720717 47.52304591150952, 7.589366751860579 47.52303142279356, 7.589366551691287 47.52301694296826, 7.589366457717137 47.52300245401161, 7.589366469988778 47.522987973911285, 7.589366561900302 47.522973484713965, 7.589366760057461 47.52295900437291, 7.589367749376405 47.52294728411729, 7.589368818385476 47.522935572752324, 7.589369940504205 47.522923861318596, 7.58937115556513 47.52291214976455, 7.589372423735615 47.5229004381417, 7.589373771621412 47.522888744403275, 7.589375185868831 47.5228770415851, 7.589376679806102 47.52286534765756, 7.58937824013027 47.52285365364401, 7.589379866866675 47.522841968538316, 7.589381573292775 47.52283029232325, 7.589383346105645 47.52281861602219, 7.589385198608112 47.52280694861178, 7.589387104219762 47.522795281132524, 7.589389102798412 47.52278362252675, 7.589391154486152 47.52277196385209, 7.589481758474917 47.52233848723412, 7.589521645553968 47.52221680283039, 7.589532110856715 47.522189546920146), (7.589913632387073 47.52556057232169, 7.589698709632163 47.52516557224505, 7.589694878406007 47.525158355164436, 7.589656121883992 47.524435588831544, 7.589651323653801 47.52433048407947));47.52392570393628, 7.589806185327817;1820;1931;PRE;Predigerhofstr.; Predigerhof, Hofgut in Reinach, ehemaliger Besitz des Predigerklosters;unbekannt;Religion;Klassizismus
Asconastrasse;Ascona, Tessiner Gemeinde;;MULTILINESTRING ((7.590840833729444 47.52560551179467, 7.590829010803069 47.52560365652604, 7.590817174753 47.52560185523635, 7.590805325527979 47.52560008993806, 7.5907934631792 47.525598378618646, 7.590781587681012 47.525596712284354, 7.590769699033405 47.525595090935184, 7.59075778395813 47.52559351458852, 7.59074586903717 47.52559199220337, 7.589958716807069 47.525562267558506, 7.589913632387073 47.52556057232169), (7.591635743584083 47.525779688195335, 7.591528917177718 47.52575559908595, 7.590944044619445 47.52562381423864, 7.590931224025815 47.525621330716696, 7.590918377030754 47.52561890119086, 7.590905503634225 47.525616525661086, 7.590892617140022 47.52561421310388, 7.590879704244279 47.525611954542676, 7.59086676494695 47.525609749977605, 7.590853812526219 47.525607599391215, 7.590840833729444 47.52560551179467));47.52563084207305, 7.590779790283401;;1931;ASC;Asconastr.; Ascona, Tessiner Gemeinde ;unbekannt;Ortschaft;
Auf der Alp;Flurname, hoch gelegenes Grundstück;;MULTILINESTRING ((7.591635743584083 47.525779688195335, 7.591598110384828 47.52565820395544, 7.591603991680858 47.52549551576805), (7.591552177197887 47.5266591788202, 7.591558996162181 47.52658741708901, 7.591635743584083 47.525779688195335));47.5260760420525, 7.591597433447216;;1931;ALP;Auf der Alp; Flurname, hoch gelegenes Grundstück ;unbekannt;Sonstiges;
Bedrettostrasse;Bedretto, Tessiner Gemeinde;;LINESTRING (7.59074388007851 47.52662391108817, 7.590750726636284 47.52655213138145, 7.590834426144047 47.525672821022134, 7.590840833729444 47.52560551179467);47.52611471203105, 7.590792363091934;;1931;BED;Bedrettostr.; Bedretto, Tessiner Gemeinde ;unbekannt;Ortschaft;
Biascastrasse;Biasca, Tessiner Gemeinde an der Gotthardstrecke;;MULTILINESTRING ((7.592081521133102 47.52738836788009, 7.592080582280818 47.527311130120296, 7.592073929230393 47.5267606985505, 7.592072989832094 47.52668326291013), (7.592081521133102 47.52738836788009, 7.591981927751648 47.52738726688729, 7.591164013971587 47.527378231752095, 7.590882762377545 47.527375119091), (7.592088445200766 47.52795913401311, 7.592087575508898 47.52788749033773, 7.592082041889538 47.52743098894503, 7.592081521133102 47.52738836788009));47.52735052838212, 7.591790755112784;;1928;BIA;Biascastr.; Biasca, Tessiner Gemeinde an der Gotthardstrecke ;unbekannt;Ortschaft;
Batterieanlage;Batterie, Flurname, benannt nach der 1815 angelegten;und mehrmals erneuerten Geschützstellung;MULTILINESTRING ((7.59223457278417 47.528109471072746, 7.592319286522116 47.52810756056407, 7.592533026671472 47.528108726355924, 7.592537900544627 47.52810890878638, 7.592542774599156 47.52810915417318, 7.592547648835079 47.52810946251636, 7.592552496694754 47.528109833850934, 7.592557344735866 47.52811026814182, 7.592562179653682 47.5281107564128, 7.592567001500038 47.52811131665154, 7.592571796970221 47.52811193988169, 7.59257657934307 47.528112626085694, 7.592581335313865 47.52811336628735, 7.592586078213276 47.528114178456725, 7.592590794710655 47.52811504462374, 7.592595484831937 47.52811597378222, 7.592600148577142 47.52811696593216, 7.59260478592036 47.52811801207974, 7.592609383608699 47.52811912123639, 7.592613954920994 47.528120293384475, 7.592618499831352 47.528121519530245, 7.592622991808038 47.52812280870258, 7.592627457382797 47.528124151872646, 7.592631883302744 47.52812555805171, 7.592636269541967 47.528127018245975, 7.592640616100472 47.52812853245561, 7.592644923004195 47.52813010967423, 7.592649176922468 47.52813173193189, 7.592653377907142 47.528133417216175, 7.592657539211141 47.52813515651571, 7.592661647555634 47.5281369498481, 7.592665702914711 47.528138788219586, 7.592669718619049 47.528140689600065, 7.592673668059157 47.52814263603722, 7.592677564539779 47.52814463650724, 7.592681394756164 47.52814668203388, 7.592685172013083 47.528148781593416, 7.592688896284614 47.52815092619202, 7.592692554317842 47.52815312484104, 7.592696146086847 47.528155368546734, 7.592699684844532 47.528157648297764, 7.592703144085093 47.52815998211683, 7.592706550340265 47.52816236097498, 7.592709877052373 47.528164784907325, 7.592713137474326 47.52816724490266, 7.592716331657982 47.52816975894845, 7.592719459525539 47.528172300063325, 7.592722507850029 47.52817488625249, 7.592725476631434 47.52817751751596, 7.592728379096731 47.52818017584853, 7.592731202018947 47.528182879255404, 7.592733945372125 47.528185618742796, 7.592736622435119 47.52818839429312, 7.592739206624276 47.52819119694771, 7.592741724523235 47.528194035665265, 7.592744149574289 47.52819691048092, 7.592746495030331 47.5281998123833, 7.592748760891357 47.528202741372425, 7.592750947183294 47.528205706442066, 7.59275304060135 47.52820869861611, 7.592755054398413 47.52821170888305, 7.592756988626356 47.52821475523055, 7.592758829954437 47.52821781968859, 7.592760578408579 47.52822091125096, 7.592762247241684 47.52822402090637, 7.592763823174886 47.52822714867228, 7.59276531951296 47.52823030352499, 7.592766950170485 47.52823398883563, 7.592768633891781 47.528237656088386, 7.592770397260517 47.52824131424187, 7.592772213693046 47.52824495433747, 7.592774109747101 47.528248576340026, 7.592776058890916 47.52825218927844, 7.59277807437742 47.52825578414139, 7.592780156206619 47.528259360928786, 7.592782304378528 47.528262919640774, 7.59278451889316 47.528266460277216, 7.592786786471658 47.528269982855754, 7.59278912039289 47.528273487358774, 7.592791520656882 47.52827697378628, 7.592793987237684 47.5282804331445, 7.592796506908334 47.528283883438576, 7.592799092895823 47.528287306663316, 7.592801731921276 47.52829070283637, 7.592804437289532 47.52829408093386, 7.592807209000594 47.52829744095581, 7.592810033749645 47.52830077392603, 7.592812924841525 47.52830408882068, 7.592815868945454 47.52830736766979, 7.592818879418177 47.52831063743715, 7.592821929624095 47.528313871176536, 7.592825059451739 47.528317086822774, 7.59282822901258 47.528320266441035, 7.592831464916296 47.528323427983715, 7.592834753858047 47.52832656247463, 7.592838109090765 47.52832966090234, 7.592841504108609 47.52833274128968, 7.59284496544339 47.52833579460758, 7.592848479790273 47.52833881187995, 7.592854907301151 47.52834358808474, 7.592861480647292 47.52834828315166, 7.59286817324496 47.52835288812202, 7.59287499839901 47.52835741197206, 7.592881942804595 47.52836184572549, 7.592889019740586 47.52836618936472, 7.592896215928108 47.528370442907374, 7.59290351806228 47.52837459737714, 7.592910952726839 47.52837866173262, 7.592918480059132 47.52838262703283, 7.592926126642891 47.52838650223633, 7.592933879147279 47.5283902693731, 7.5929417376242 47.52839394643067, 7.592949702021698 47.528397515421496, 7.592957759086818 47.52840098535693, 7.592965908793553 47.52840434724313, 7.592974151167856 47.528407610073884, 7.592982486157729 47.52841075586158, 7.592990913815108 47.52841380259384, 7.592999407556162 47.52841674131196, 7.593007993912683 47.528419562986976, 7.593016659657684 47.52842228562405, 7.593025404739169 47.528424891235645, 7.593034202599267 47.52842737985682, 7.593043079821732 47.52842976044624, 7.593052023101637 47.52843202402769, 7.59306103243891 47.52843417060108, 7.5930700945806 47.528436209177926, 7.593079209474656 47.52843812177053, 7.593088377147025 47.5284399173727, 7.593097597623652 47.528441604978255, 7.593106857573567 47.52844316661714, 7.593118270943732 47.52844549886815), (7.593118270943732 47.52844549886815, 7.593132939546451 47.528448483349315, 7.593312196168226 47.52848653214695, 7.593337456243956 47.52849231760337, 7.593362650295201 47.52849822905552, 7.593387778348174 47.52850427549728, 7.593412840350937 47.528510438941055, 7.593437836303631 47.52851671938693, 7.593462766258523 47.528523134822464, 7.593487616910775 47.528529676271646, 7.59351240151341 47.528536334723015, 7.593537106813688 47.52854311918806, 7.593561746090715 47.528550029649224, 7.593586306039598 47.528557057130406, 7.593610786686572 47.528564210625404, 7.593635201284616 47.528571481122846, 7.593659523302081 47.52857887765185, 7.593683765991946 47.528586391201145, 7.593707929380439 47.52859403076444, 7.593765338274244 47.52862734838551), (7.589662240770363 47.529039342393006, 7.589662240668687 47.52903930641784, 7.589604260787661 47.52845999947788, 7.589604081072822 47.52845749043387, 7.589603967727156 47.52845497230997, 7.589603920801473 47.528452463093835, 7.589603940244942 47.52844994479782, 7.589604026108383 47.52844743540964, 7.589604178366367 47.52844492593535, 7.589604410297803 47.52844241635781, 7.589604695344852 47.528439906711405, 7.589605046811831 47.52843740597283, 7.589605477952229 47.528434905130936, 7.589605962233624 47.528432413214006, 7.589606526213831 47.52842993018758, 7.589607143335014 47.52842745608614, 7.589607826850672 47.5284249818986, 7.589608590090523 47.52842252559541, 7.589609406445915 47.52842006922336, 7.589610289246576 47.52841763075284, 7.589611238467084 47.52841520119004, 7.58961225410743 47.52841278053505, 7.58961333619301 47.52841037778151, 7.589614484698415 47.52840798393571, 7.589615686370141 47.528405608008605, 7.589616954461678 47.528403240989235, 7.589618289023827 47.528400900865236, 7.589619690005772 47.52839856964889, 7.58962114415401 47.52839625635129, 7.589622664747432 47.52839396095518, 7.589624251811453 47.52839169245441, 7.58962589201634 47.528389432878505, 7.589627585412908 47.528387200215136, 7.589629358533531 47.52838498543603, 7.589631171566936 47.52838279758665, 7.589633884972878 47.528379691200065, 7.58963671801562 47.528376629627424, 7.589639670720553 47.52837362186259, 7.589642743087675 47.52837066790548, 7.589645908559193 47.52836776779054, 7.589649206997192 47.52836493045987, 7.589652598539564 47.528362146971375, 7.589656096465203 47.528359417307826, 7.589659700824934 47.52835675945678, 7.589663411593336 47.528354164424414, 7.58966721549153 47.528351632227995, 7.589671112544928 47.52834917186118, 7.589675102728109 47.52834677433033, 7.58967918609192 47.52834445762288, 7.589683362585531 47.528342203751336, 7.589687618980896 47.52834003072044, 7.589691955252605 47.5283379295364, 7.589696371426083 47.52833590919306, 7.58970086750135 47.52833396969025, 7.58970543017411 47.52833210205156, 7.589710059495222 47.528330324264495, 7.589714768692731 47.52832861832423, 7.589719531259747 47.52832700225284, 7.589724360449735 47.528325467039195, 7.589729243009256 47.52832402169441, 7.589734178912911 47.52832265722464, 7.589739168211581 47.528321391617474, 7.589744210828984 47.52832019789153, 7.589749293562562 47.52831910304537, 7.589754403108031 47.52831809810248, 7.589759566023164 47.52831718302836, 7.589764755750234 47.52831635785747, 7.592175415741178 47.52820663741659, 7.592232933672217 47.528204457027435), (7.58857314600519 47.529249217032095, 7.588659536525928 47.52924316988909, 7.589022039360772 47.52921782558256, 7.58935432514152 47.529194830650944, 7.589479575887284 47.52918607044063, 7.589484461630003 47.52918572234883, 7.589489320585964 47.52918529334718, 7.589494179338732 47.529184792394936, 7.589499011279296 47.529184201539074, 7.589503816458431 47.52918353876701, 7.589508594850723 47.5291827950851, 7.589513359735244 47.529181970476095, 7.589518071300082 47.52918107398533, 7.589522769331716 47.529180087573714, 7.589527427348123 47.52917903825698, 7.5895320320194 47.5291779080648, 7.589536609903709 47.529176696962665, 7.589541134468254 47.529175413978855, 7.589545618992111 47.5291740590962, 7.589550050170772 47.52917262333806, 7.589554428055011 47.52917112469208, 7.589558752594034 47.5291695451706, 7.589563010559524 47.529167902778454, 7.589567215205161 47.529166188504654, 7.589571366530939 47.529164402349245, 7.589575438004068 47.529162553340406, 7.58957944287823 47.52916063246709, 7.589583381204216 47.52915865771696, 7.589587252905813 47.52915660210865, 7.589591044780143 47.5291544926407, 7.589594756801789 47.52915232031936, 7.589598388996164 47.52915009413841, 7.58960195459153 47.529147796093056, 7.589605413801443 47.529145444222536, 7.589608806463168 47.52914303847525, 7.589612106018525 47.52914057888559, 7.589615312467524 47.52913806545358, 7.589618425810166 47.52913549817917, 7.589621459325543 47.529132877045235, 7.589624386480895 47.52913021108, 7.589627220555321 47.52912750026618, 7.589629948244324 47.52912473562727, 7.589632596156912 47.529121935116414, 7.589635124430433 47.529119089791436, 7.589637559623058 47.52911619961797, 7.589639875202052 47.529113273624176, 7.58964209772559 47.52911031177573, 7.589644213889192 47.52910730509595, 7.589646223743692 47.5291042715725, 7.589648114010045 47.52910121122259, 7.589649897941912 47.52909811503513, 7.589651575539325 47.52909498301027, 7.58965313357404 47.529091833152705, 7.589654585299748 47.52908865645146, 7.58965591746281 47.52908546191759, 7.589657130037815 47.529082240557265, 7.589658236329288 47.52907900134701, 7.589659223058163 47.52907574430416, 7.589660090224477 47.52907246942862, 7.58966083785366 47.52906918571425, 7.589661465945732 47.529065893161025, 7.589661987754368 47.52906258275792, 7.589662376772295 47.52905927252697, 7.589662646253172 47.52905595345716, 7.589662809476102 47.529052625531314, 7.589662839933802 47.529049306771356, 7.589662764133587 47.52904597915538, 7.589662555568204 47.52904266070532, 7.589662240770363 47.529039342393006));47.52851374799032, 7.591012248360731;;1954;BAT;Batterieanlage; Batterie, Flurname, benannt nach der 1815 angelegten und mehrmals erneuerten Geschützstellung;unbekannt;Militär;
Batterie;Batterie, Flurname, benannt nach der 1815 angelegten;und mehrmals erneuerten Geschützstellung;LINESTRING (7.588658952238184 47.52922424764109, 7.589488602806017 47.52916622737427, 7.589492518766945 47.529165736636806, 7.589496408017276 47.52916519197091, 7.589500283810697 47.5291645843655, 7.589504146147198 47.52916391382064, 7.589507981773061 47.52916318934739, 7.589511790662891 47.5291624019518, 7.589515559562972 47.52916156064501, 7.589519315031475 47.52916066539254, 7.589523030484823 47.52915970723498, 7.58952671922748 47.529158695149064, 7.58953036795495 47.529157620158, 7.58953398997172 47.52915649123854, 7.58953755871959 47.52915530842505, 7.589541100782138 47.52915408067689, 7.589544589550382 47.52915279004091, 7.589548051607881 47.529151445476494, 7.589551447117367 47.529150047035245, 7.589554802662416 47.52914860367658, 7.589558118192213 47.5291470974129, 7.589561367224782 47.52914555525997, 7.589564576242088 47.52914395020207, 7.589567718762167 47.52914230925491, 7.589570821292381 47.52914061439657, 7.589573857274547 47.52913886566144, 7.589576826759476 47.529137081037106, 7.589579742975444 47.52913524251878, 7.589582605973257 47.529133368094016, 7.589585389169344 47.52913144880354, 7.589588119121864 47.52912948461284, 7.589590782577158 47.52912748453298, 7.589593366230721 47.52912543958731, 7.589595896640732 47.52912334974151, 7.589598347299835 47.529121233017534, 7.589600731436301 47.52911907141058, 7.589603035796467 47.52911687393165, 7.589605273659411 47.52911464056362, 7.589607431771479 47.52911238031741, 7.589609510107258 47.52911008419928, 7.589611521971234 47.52910776118577, 7.589613454058947 47.52910540230029, 7.589615293116721 47.529103016553975, 7.589617065677312 47.529100594918425, 7.589618758512473 47.52909815539859, 7.589620358317724 47.52909568901783, 7.589621878372156 47.52909319575896, 7.589623318701182 47.529090684615745, 7.589624666025747 47.5290881556054, 7.589625946878592 47.52908559969973, 7.589627121447923 47.52908302594415, 7.589628216291894 47.52908043430428, 7.589629231410519 47.52907782478003, 7.589630153550143 47.52907520638253, 7.589630995964442 47.52907257010069, 7.589631732120713 47.529069924962755, 7.589632388551677 47.52906726194049, 7.589632965308184 47.52906459902154, 7.589633449060345 47.52906191823543, 7.589633839859002 47.52905923756985, 7.589634137704176 47.52905655702471, 7.589634342545046 47.52905385861255, 7.589634467736937 47.52905116929737, 7.589634499949967 47.52904847110895, 7.589634439209563 47.529045773040956, 7.589634285541154 47.52904308408725, 7.589579992957029 47.52848096854837, 7.58957914419104 47.528476652612596, 7.589578428163565 47.528472318517146, 7.589577858204292 47.52846798423245, 7.589577434262374 47.52846363177089, 7.589577156388585 47.52845927912005, 7.589577024582891 47.528454926279906, 7.589577025540944 47.528450564273975, 7.589577172592417 47.52844621107249, 7.589577465711885 47.52844185768177, 7.589577891645806 47.52843751311279, 7.589578476951952 47.52843317733108, 7.58957919504707 47.52842884137732, 7.58958005926085 47.528424523221894, 7.589581056314345 47.528420222881934, 7.58958219946103 47.52841593134647, 7.589583488751667 47.5284116666031, 7.589583804447549 47.52841060492275, 7.589583920934481 47.52840953450669, 7.589583851491365 47.528408455337754, 7.589583569636649 47.52840739443171, 7.589583115232434 47.52840636073076, 7.589582475050643 47.528405372239604, 7.589581662420995 47.528404446928704, 7.589580677368908 47.52840359379181, 7.589579559781888 47.52840283076486, 7.589578309685339 47.52840216684167, 7.589576940383563 47.5284016109988, 7.589575491738661 47.52840117217848, 7.589573963750633 47.52840085038065, 7.589572396306968 47.52840066354127, 7.589570815965448 47.52840061162599, 7.589569222700677 47.52840068564094, 7.588546269874628 47.5284684708915, 7.588545251098261 47.528474525045986, 7.588544351831943 47.52848057904665, 7.588543572100943 47.52848664188726, 7.58854289865161 47.52849272257879, 7.588542357966147 47.52849879410565, 7.588541936816124 47.52850487447245, 7.588541635201579 47.528510963679345, 7.588541453097338 47.52851705273231, 7.588541390503428 47.52852314163154, 7.588541447419897 47.52852923037696, 7.588541623846782 47.52853531896857, 7.588541919784135 47.52854140740642, 7.588542335206751 47.52854748669667, 7.588542870139919 47.528553565833086, 7.588543524558436 47.52855963582193, 7.588544298487577 47.528565705656966, 7.588620915484104 47.529056777693086, 7.588632204845791 47.529156882383475, 7.588658952238184 47.52922424764109);47.52880114394292, 7.5890922996872545;;2023;BAT;Batterie; Batterie, Flurname, benannt nach der 1815 angelegten und mehrmals erneuerten Geschützstellung;unbekannt;Militär;
